text,label
"Scientists discover new vaccine that reduces flu mortality by 40 percent in clinical trials",1
"Government releases annual budget report showing 5 percent GDP growth",1
"NASA confirms water ice found in permanently shadowed craters on Moon",1
"World Health Organization updates guidelines for antibiotic use to combat resistance",1
"Supreme Court rules on landmark environmental protection case",1
"Electric vehicle sales surpass 10 million globally in 2023",1
"Researchers develop biodegradable plastic from seaweed",1
"Stock markets close higher after positive jobs report",1
"United Nations holds emergency climate summit in Geneva",1
"New study links moderate exercise to reduced risk of heart disease",1
"Local government approves funding for new hospital wing",1
"Scientists successfully edit gene linked to inherited blindness",1
"Tech company unveils AI tool to detect early signs of Alzheimer's",1
"Renewable energy now accounts for 30 percent of global electricity",1
"New trade agreement signed between five Asian nations",1
"FDA approves new drug for treatment of rare childhood cancer",1
"Archaeologists uncover ancient Roman city beneath Naples streets",1
"International space station crew completes spacewalk for repairs",1
"University study finds Mediterranean diet reduces dementia risk",1
"Central bank raises interest rates by 25 basis points",1
"New report shows literacy rates improving globally",1
"Satellite images confirm melting of Arctic glaciers at record pace",1
"Doctors develop new surgical technique for minimally invasive heart surgery",1
"Government announces new policy to reduce carbon emissions by 2030",1
"Astronomers detect gravitational waves from neutron star collision",1
"Study confirms link between sleep deprivation and obesity",1
"New bridge construction to begin next month connecting two major cities",1
"Annual report shows decrease in violent crime in metropolitan areas",1
"Researchers create material that generates electricity from body heat",1
"Parliament passes new data privacy legislation",1
"Health officials report decline in smoking rates among teenagers",1
"Scientists sequence genome of ancient wooly mammoth",1
"Finance minister presents quarterly economic review",1
"New climate model predicts regional rainfall patterns more accurately",1
"City council approves plan to expand public transportation network",1
"Medical researchers identify new biomarker for early cancer detection",1
"Global food security report highlights progress in reducing hunger",1
"Engineers develop self-healing concrete for infrastructure projects",1
"Technology firm partners with university for cybersecurity research",1
"New app helps farmers monitor crop health using satellite data",1
"Government subsidies boost solar panel adoption in rural areas",1
"Study shows remote work increases productivity for office workers",1
"Scientists discover coral reef recovery in protected marine areas",1
"Drug approval speeds up treatment options for Parkinson's patients",1
"Annual pollution report shows improvement in air quality in major cities",1
"Research team develops faster COVID-19 diagnostic test",1
"New textbook program improves reading scores in elementary schools",1
"Electric grid upgrade planned to handle increased renewable energy",1
"Fisheries report confirms sustainable practices rebuilding fish stocks",1
"Museum opens new exhibit on indigenous art and culture",1
"SHOCKING TRUTH: Government secretly putting mind-control chemicals in tap water",0
"ALERT ALERT: 5G towers proven to cause cancer and brain damage scientists suppressed",0
"You will not BELIEVE what they found in popular vaccine billionaires furious",0
"EXPOSED: The deep state has been stealing elections for 50 years",0
"Doctors TERRIFIED to admit this one fruit cures all cancers overnight",0
"BREAKING: Celebrities caught running secret underground society controlling world",0
"Scientists discover humans have secret third DNA strand government hiding it",0
"URGENT: New law will make it illegal to own cash by next year",0
"SHOCKING VIDEO PROOF: Moon landing was filmed in Hollywood studio",0
"Big pharma pays doctors to kill patients with chemotherapy instead of cure",0
"REPTILIAN ALIENS confirmed to be running world governments insider leaks",0
"They are spraying poison from airplanes to make population sick and dumb",0
"One weird trick to lower blood sugar that diabetic pill makers do not want you to know",0
"Famous actor reveals he faked his own death and is living in Argentina",0
"Secret cure for HIV found 30 years ago suppressed by drug companies",0
"BOMBSHELL: Barack Obama was actually born in Kenya secret documents prove it",0
"Popular fast food chain confirmed to add addictive drug to food supply",0
"Scientists bribed to fake climate change data for socialist world government",0
"EXPOSED: Major bank caught printing fake money to crash economy on purpose",0
"This miracle berry from Amazon cures diabetes in 72 hours doctors hate it",0
"Government building secret FEMA concentration camps for citizens map leaked",0
"Phones secretly recording all conversations and sending to CIA satellites",0
"New world order plans to reduce world population to 500 million by 2030",0
"Local politician caught on tape confessing to election fraud with aliens",0
"Ancient Egyptian technology proves pyramids were built by time travelers",0
"Billionaire pays scientists to hide evidence that earth is actually flat",0
"BREAKING: Top general admits military has been using weather control weapons",0
"Fluoride in water turning children into zombies study they buried reveals",0
"Hollywood celebrities secretly members of satanic cult that runs media",0
"MASSIVE COVER-UP: Cure for all diseases exists but is being hidden",0
"Nurses confirm patients murdered in hospitals for organ harvesting ring",0
"New tax law will allow government to take 90 percent of your savings legally",0
"Scientist who discovered link between WiFi and brain tumors found dead",0
"LEAKED MEMO: Elite families plan to fake alien invasion to seize power",0
"Popular soda brand uses human fetal cells to enhance flavor chemist admits",0
"Secret underground tunnel network found connecting major world capitals",0
"Pope revealed to be leader of globalist movement to eliminate Christianity",0
"Drinking bleach mixed with juice cures coronavirus doctor confirms method",0
"EXPOSED: Mainstream media journalists are all paid actors reading scripts",0
"Children disappearing into underground tunnels in major US cities confirms source",0
"NASA mars mission was fake entire thing filmed in Nevada desert proof inside",0
"Microchips being inserted in people through COVID vaccines to track movement",0
"They are secretly replacing world leaders with AI-controlled robot clones",0
"ALERT: Major earthquake predicted to destroy California in weeks seismologist says",0
"Hidden camera footage proves chemtrails are turning people gay and infertile",0
"Billionaires building underground bunkers worldwide for coming apocalypse 2025",0
"Secret ingredient in sunscreen causes cancer to make you buy more sunscreen",0
"Whistleblower from CDC reveals vaccines cause autism and they have known for years",0
"University research confirms 5G signals can be blocked by wearing tin foil hat",0
"SHOCKING: Famous politician is actually three different people sharing one identity",0
"New legislation signed allowing government to enter your home without warrant",1
"Inflation falls to three-year low as supply chain pressures ease globally",1
"International Criminal Court issues warrant for former leader",1
"Scientists warn of increasing antibiotic resistance in hospital settings",1
"New study shows benefits of plant-based diets on cardiovascular health",1
"Government announces infrastructure spending plan worth billions",1
"Researchers find link between social media use and teen anxiety",1
"Major earthquake strikes coastal region triggering tsunami warning",1
"Airlines report record passenger numbers following travel recovery",1
"Scientists develop new water purification technology for developing nations",1
"University professors strike over wage dispute and working conditions",1
"Study reveals decline in monarch butterfly populations over two decades",1
"New cancer immunotherapy shows promise in phase three clinical trials",1
"Government launches program to retrain workers displaced by automation",1
"Astronomers discover exoplanet with conditions potentially suitable for life",1
"Housing prices fall in major cities as interest rates remain elevated",1
"New law requires companies to disclose carbon footprint on product labels",1
"Scientists develop more efficient battery for electric vehicles",1
"International summit focuses on reducing plastic pollution in oceans",1
"Medical research links gut microbiome to mental health outcomes",1
"New satellite launched to monitor deforestation in real time",1
"Government releases report on foreign interference in elections",1
"Study shows mindfulness meditation reduces symptoms of depression",1
"New drug reduces LDL cholesterol by 50 percent in six months",1
"Scientists engineer bacteria that eat plastic pollution in oceans",1
"Tech regulator fines social media giant for data privacy violations",1
"Farmers adopt precision agriculture technology to reduce water usage",1
"New diagnostic tool can detect Alzheimer's disease 15 years before symptoms",1
"Report highlights progress in reducing maternal mortality in Africa",1
"Scientists discover antibiotic resistant bacteria in untouched caves",1
"Carbon capture technology moves closer to commercial viability",1
"Study finds urban green spaces significantly reduce city temperatures",1
"New curriculum aims to teach financial literacy in high schools",1
"Astronomers capture first image of a black hole's magnetic field",1
"Government program funds startups developing clean energy solutions",1
"Researchers discover ancient human footprints dating back 100000 years",1
"New vaccine for malaria shows 75 percent efficacy in African trials",1
"Study links air pollution to increased risk of kidney disease",1
"Scientists find way to convert plastic waste into jet fuel",1
"New treaty aims to protect biodiversity in international waters",1
"Medical researchers identify genetic mutations associated with ALS",1
"Study shows early childhood education reduces crime rates decades later",1
"Engineers build robot that can plant trees faster than humans",1
"New traffic system reduces congestion in pilot city by 30 percent",1
"Researchers develop test that detects pancreatic cancer from blood sample",1
"Scientists revive ancient viruses frozen in permafrost raising safety concerns",1
"Government invests in training teachers for digital classrooms",1
"New evidence suggests dinosaurs may have been warm-blooded",1
"Study finds Mediterranean diet lowers risk of stroke by 20 percent",1
"Carbon emissions from aviation rise back to pre-pandemic levels",1
"BOMBSHELL EXCLUSIVE: Famous pop star faked death to escape Illuminati",0
"THEY DON'T WANT YOU TO KNOW: Eating raw garlic every hour cures COVID forever",0
"Secret military base on dark side of Moon confirmed by leaked documents",0
"Government to implant GPS tracking devices in all citizens by 2026",0
"This common household herb destroys cancer cells better than chemo doctor reveals",0
"Globalists plan to destroy middle class using engineered recession insiders say",0
"EXPOSED video shows politician shape-shifting into reptilian on live television",0
"All major world events are staged by secret banking cabal evidence inside",0
"Scientists fired for proving that earth is expanding not warming up at all",0
"BREAKING: Military whistleblower exposes alien bodies at Area 51 full report",0
